2026-02-26 18:36:58 | INFO     | forex_scraper.main | Forex Scraper Microservice shutting down...
2026-02-26 18:36:59 | INFO     | forex_scraper.main | ==================================================
2026-02-26 18:36:59 | INFO     | forex_scraper.main | Forex Scraper Microservice starting...
2026-02-26 18:36:59 | INFO     | forex_scraper.main | Startup complete. Server ready.
2026-02-26 18:36:59 | INFO     | forex_scraper.main | ==================================================
2026-03-02 11:22:40 | INFO     | forex_scraper.main | ==================================================
2026-03-02 11:22:40 | INFO     | forex_scraper.main | Forex Scraper Microservice starting...
2026-03-02 11:22:40 | INFO     | forex_scraper.main | Startup complete. Server ready.
2026-03-02 11:22:40 | INFO     | forex_scraper.main | ==================================================
2026-03-02 11:41:52 | INFO     | currency_scrape.service | Scrape started | Pairs: ['USDINR', 'EURUSD', 'EURINR', 'GBPUSD', 'USDJPY', 'GBPINR', 'JPYINR'] | 2023-01-01 -> 2024-12-31
2026-03-02 11:41:52 | INFO     | forex_scraper.scrape | [USDINR] Priming cookies via main page...
2026-03-02 11:41:53 | INFO     | forex_scraper.scrape | [USDINR] Cookies primed. Waiting 2.9s...
2026-03-02 11:41:55 | INFO     | forex_scraper.scrape | [USDINR] Calling historical API...
2026-03-02 11:41:56 | INFO     | forex_scraper.scrape | [USDINR] Status: 200
2026-03-02 11:41:56 | INFO     | forex_scraper.scrape | [USDINR] Parsed 522 records
2026-03-02 11:41:56 | INFO     | currency_scrape.service | [USDINR] OK 522 records scraped
2026-03-02 11:41:56 | INFO     | currency_scrape.service | Waiting 4.5s before next pair...
2026-03-02 11:42:01 | INFO     | forex_scraper.scrape | [EURUSD] Priming cookies via main page...
2026-03-02 11:42:02 | INFO     | forex_scraper.scrape | [EURUSD] Cookies primed. Waiting 3.9s...
2026-03-02 11:42:05 | INFO     | forex_scraper.scrape | [EURUSD] Calling historical API...
2026-03-02 11:42:06 | INFO     | forex_scraper.scrape | [EURUSD] Status: 200
2026-03-02 11:42:06 | INFO     | forex_scraper.scrape | [EURUSD] Parsed 522 records
2026-03-02 11:42:06 | INFO     | currency_scrape.service | [EURUSD] OK 522 records scraped
2026-03-02 11:42:06 | INFO     | currency_scrape.service | Waiting 6.0s before next pair...
2026-03-02 11:42:12 | INFO     | forex_scraper.scrape | [EURINR] Priming cookies via main page...
2026-03-02 11:42:14 | INFO     | forex_scraper.scrape | [EURINR] Cookies primed. Waiting 3.5s...
2026-03-02 11:42:17 | INFO     | forex_scraper.scrape | [EURINR] Calling historical API...
2026-03-02 11:42:18 | INFO     | forex_scraper.scrape | [EURINR] Status: 200
2026-03-02 11:42:18 | INFO     | forex_scraper.scrape | [EURINR] Parsed 522 records
2026-03-02 11:42:18 | INFO     | currency_scrape.service | [EURINR] OK 522 records scraped
2026-03-02 11:42:18 | INFO     | currency_scrape.service | Waiting 6.8s before next pair...
2026-03-02 11:42:25 | INFO     | forex_scraper.scrape | [GBPUSD] Priming cookies via main page...
2026-03-02 11:42:26 | INFO     | forex_scraper.scrape | [GBPUSD] Cookies primed. Waiting 2.2s...
2026-03-02 11:42:28 | INFO     | forex_scraper.scrape | [GBPUSD] Calling historical API...
2026-03-02 11:42:29 | INFO     | forex_scraper.scrape | [GBPUSD] Status: 200
2026-03-02 11:42:29 | INFO     | forex_scraper.scrape | [GBPUSD] Parsed 522 records
2026-03-02 11:42:29 | INFO     | currency_scrape.service | [GBPUSD] OK 522 records scraped
2026-03-02 11:42:29 | INFO     | currency_scrape.service | Waiting 4.6s before next pair...
2026-03-02 11:42:34 | INFO     | forex_scraper.scrape | [USDJPY] Priming cookies via main page...
2026-03-02 11:42:34 | INFO     | forex_scraper.scrape | [USDJPY] Cookies primed. Waiting 3.4s...
2026-03-02 11:42:38 | INFO     | forex_scraper.scrape | [USDJPY] Calling historical API...
2026-03-02 11:42:39 | INFO     | forex_scraper.scrape | [USDJPY] Status: 200
2026-03-02 11:42:39 | INFO     | forex_scraper.scrape | [USDJPY] Parsed 522 records
2026-03-02 11:42:39 | INFO     | currency_scrape.service | [USDJPY] OK 522 records scraped
2026-03-02 11:42:39 | INFO     | currency_scrape.service | Waiting 4.9s before next pair...
2026-03-02 11:42:44 | INFO     | forex_scraper.scrape | [GBPINR] Priming cookies via main page...
2026-03-02 11:42:45 | INFO     | forex_scraper.scrape | [GBPINR] Cookies primed. Waiting 2.7s...
2026-03-02 11:42:47 | INFO     | forex_scraper.scrape | [GBPINR] Calling historical API...
2026-03-02 11:42:48 | INFO     | forex_scraper.scrape | [GBPINR] Status: 200
2026-03-02 11:42:48 | INFO     | forex_scraper.scrape | [GBPINR] Parsed 522 records
2026-03-02 11:42:48 | INFO     | currency_scrape.service | [GBPINR] OK 522 records scraped
2026-03-02 11:42:48 | INFO     | currency_scrape.service | Waiting 4.8s before next pair...
2026-03-02 11:42:53 | INFO     | forex_scraper.scrape | [JPYINR] Priming cookies via main page...
2026-03-02 11:42:54 | INFO     | forex_scraper.scrape | [JPYINR] Cookies primed. Waiting 2.6s...
2026-03-02 11:42:57 | INFO     | forex_scraper.scrape | [JPYINR] Calling historical API...
2026-03-02 11:42:58 | INFO     | forex_scraper.scrape | [JPYINR] Status: 200
2026-03-02 11:42:58 | INFO     | forex_scraper.scrape | [JPYINR] Parsed 522 records
2026-03-02 11:42:58 | INFO     | currency_scrape.service | [JPYINR] OK 522 records scraped
2026-03-02 11:42:58 | INFO     | currency_scrape.service | Data saved to forex_data_20260302_114258.json
2026-03-02 11:42:58 | INFO     | currency_scrape.service | Scrape complete | 7/7 pairs | 3654 records | 66.27s
2026-03-02 11:47:39 | INFO     | currency_scrape.service | Scrape started | Pairs: ['USDINR', 'EURUSD', 'EURINR', 'GBPUSD', 'USDJPY', 'GBPINR', 'JPYINR'] | 2020-01-01 -> 2026-03-02
2026-03-02 11:47:39 | INFO     | forex_scraper.scrape | [USDINR] Priming cookies via main page...
2026-03-02 11:47:40 | INFO     | forex_scraper.scrape | [USDINR] Cookies primed. Waiting 3.3s...
2026-03-02 11:47:44 | INFO     | forex_scraper.scrape | [USDINR] Calling historical API...
2026-03-02 11:47:46 | INFO     | forex_scraper.scrape | [USDINR] Status: 200
2026-03-02 11:47:46 | INFO     | forex_scraper.scrape | [USDINR] Parsed 1609 records
2026-03-02 11:47:46 | INFO     | currency_scrape.service | [USDINR] OK 1609 records scraped
2026-03-02 11:47:46 | INFO     | currency_scrape.service | Waiting 4.5s before next pair...
2026-03-02 11:47:50 | INFO     | forex_scraper.scrape | [EURUSD] Priming cookies via main page...
2026-03-02 11:47:51 | INFO     | forex_scraper.scrape | [EURUSD] Cookies primed. Waiting 2.7s...
2026-03-02 11:47:53 | INFO     | forex_scraper.scrape | [EURUSD] Calling historical API...
2026-03-02 11:47:56 | INFO     | forex_scraper.scrape | [EURUSD] Status: 200
2026-03-02 11:47:56 | INFO     | forex_scraper.scrape | [EURUSD] Parsed 1610 records
2026-03-02 11:47:56 | INFO     | currency_scrape.service | [EURUSD] OK 1610 records scraped
2026-03-02 11:47:56 | INFO     | currency_scrape.service | Waiting 5.7s before next pair...
2026-03-02 11:48:01 | INFO     | forex_scraper.scrape | [EURINR] Priming cookies via main page...
2026-03-02 11:48:03 | INFO     | forex_scraper.scrape | [EURINR] Cookies primed. Waiting 3.0s...
2026-03-02 11:48:06 | INFO     | forex_scraper.scrape | [EURINR] Calling historical API...
2026-03-02 11:48:08 | INFO     | forex_scraper.scrape | [EURINR] Status: 200
2026-03-02 11:48:08 | INFO     | forex_scraper.scrape | [EURINR] Parsed 1608 records
2026-03-02 11:48:08 | INFO     | currency_scrape.service | [EURINR] OK 1608 records scraped
2026-03-02 11:48:08 | INFO     | currency_scrape.service | Waiting 4.5s before next pair...
2026-03-02 11:48:13 | INFO     | forex_scraper.scrape | [GBPUSD] Priming cookies via main page...
2026-03-02 11:48:13 | INFO     | forex_scraper.scrape | [GBPUSD] Cookies primed. Waiting 2.1s...
2026-03-02 11:48:15 | INFO     | forex_scraper.scrape | [GBPUSD] Calling historical API...
2026-03-02 11:48:18 | INFO     | forex_scraper.scrape | [GBPUSD] Status: 200
2026-03-02 11:48:18 | INFO     | forex_scraper.scrape | [GBPUSD] Parsed 1610 records
2026-03-02 11:48:18 | INFO     | currency_scrape.service | [GBPUSD] OK 1610 records scraped
